,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
1654,37384472.83744463,31286196.500567384,20794966.500567384,20794966.500567384,0
1655,35036918.35734784,29970655.16965834,19479425.16965834,19479425.16965834,0
1656,35274935.97576218,31777728.346335933,21286498.346335933,21286498.346335933,0
1657,35201235.088842005,32522956.004843757,22031726.004843757,22031726.004843757,0
1658,34406836.184743375,32243779.757566374,21752549.757566374,21752549.757566374,0
1659,33382877.141057298,31971871.284344047,21480641.284344047,21480641.284344047,0
1660,32496050.07549321,30783510.68291096,20292280.68291096,20292280.68291096,0
1661,32335357.977782,30851428.43553225,20360198.43553225,20360198.43553225,0
1662,33570149.886510216,31796408.31632618,21305178.31632618,21305178.31632618,0
1663,34587463.76826085,32550874.125197314,22059644.125197314,22059644.125197314,0
1664,38007305.74248317,35353175.05921306,24861945.059213057,24861945.059213057,0
1665,41618045.095941365,38296291.92938798,27805061.92938798,27805061.92938798,0
1666,43669587.817096464,39567554.593183115,29076324.593183115,29076324.593183115,0
1667,44365517.503424674,39779052.61971294,29287822.61971294,29287822.61971294,0
1668,44721335.71978522,40362408.10738137,29871178.107381374,29871178.107381374,0
1669,44176432.4410803,40120611.79250675,29629381.792506747,29629381.792506747,0
1670,43084209.46114849,39839082.786724105,29347852.786724105,29347852.786724105,0
1671,43038297.433230996,39950335.930156246,29459105.930156246,29459105.930156246,0
1672,43852027.71750543,40880019.965760455,30388789.965760455,30388789.965760455,0
1673,45635951.644352004,42074803.060615525,31583573.060615525,31583573.060615525,0
1674,48185881.51066403,43955089.76400551,33463859.764005512,33463859.764005512,0
1675,47514720.15518604,42997931.89481468,32506701.894814678,32506701.894814678,0
1676,45060238.97849193,40889621.12533118,30398391.12533118,30398391.12533118,0
1677,41625294.36350728,37727742.95141653,27236512.95141653,27236512.95141653,0
1678,37606783.70946614,33791300.70801764,23300070.70801764,23300070.70801764,0
1679,34670226.239638425,30872868.343212675,20381638.343212675,20381638.343212675,0
1680,34769299.56303933,30948876.57362008,20457646.57362008,20457646.57362008,0
1681,34687745.30292273,30917197.051604733,20425967.051604733,20425967.051604733,0
1682,33701844.91395774,29834053.543376487,19342823.543376487,19342823.543376487,0
1683,33058472.417482425,28934535.329472676,18443305.329472676,18443305.329472676,0
1684,32696009.039186463,27873445.848641463,17382215.848641463,17382215.848641463,0
1685,34284806.84738373,29438143.600620538,18946913.600620538,18946913.600620538,0
1686,39484948.11466969,34658345.827479035,24167115.827479035,24167115.827479035,0
1687,45883030.847223744,40693194.73954959,30201964.739549592,30201964.739549592,0
1688,48899330.26027657,43339940.03328296,32848710.033282958,32848710.033282958,0
1689,50835488.80600746,44963939.56880154,34472709.56880154,34472709.56880154,0
1690,51531418.49233569,45311736.141311385,34820506.141311385,34820506.141311385,0
1691,52250304.19262266,46176687.819008105,35685457.819008105,35685457.819008105,0
1692,52495571.078602925,46676196.80592525,36184966.80592525,36184966.80592525,0
1693,51848573.94834465,46574713.174886554,36083483.174886554,36083483.174886554,0
1694,51451676.54911059,46581235.2841918,36090005.2841918,36090005.2841918,0
1695,51161101.74084332,46865187.533012256,36373957.533012256,36373957.533012256,0
1696,52961940.62534371,48902317.1728185,38411087.1728185,38411087.1728185,0
1697,54712638.74251318,50589042.58732462,40097812.58732462,40097812.58732462,0
1698,56030193.12261897,51917229.689045474,41425999.689045474,41425999.689045474,0
1699,54505430.51125399,50258627.83878142,39767397.83878142,39767397.83878142,0
1700,51297025.507704295,46955645.65108454,36464415.65108454,36464415.65108454,0
1701,46534256.71689546,41894883.39585221,31403653.39585221,31403653.39585221,0
1702,41098514.25371717,36550583.69161767,26059353.691617668,26059353.691617668,0
1703,37447903.92864643,33004664.06613968,22513434.06613968,22513434.06613968,0
1704,37145851.11339978,32965783.550692532,22474553.550692532,22474553.550692532,0
1705,36991804.17762401,32778122.00559826,22286892.00559826,22286892.00559826,0
1706,36188343.689067975,32149440.370893974,21658210.370893974,21658210.370893974,0
1707,35630754.19212271,31677894.81035346,21186664.81035346,21186664.81035346,0
1708,35148073.7933586,31239468.935275603,20748238.935275603,20748238.935275603,0
1709,36992408.28325451,33543849.612490013,23052619.612490013,23052619.612490013,0
1710,41798672.67945885,38197598.94672639,27706368.94672639,27706368.94672639,0
1711,48434773.03042726,45271277.428467184,34780047.428467184,34780047.428467184,0
1712,50436174.98425141,46902687.72326985,36411457.72326985,36411457.72326985,0
1713,51862468.37784599,47920539.696216926,37429309.696216926,37429309.696216926,0
1714,51873946.38482537,47679821.095589176,37188591.095589176,37188591.095589176,0
1715,51748896.51931326,47680087.57789684,37188857.57789684,37188857.57789684,0
1716,51934961.05350519,48053946.26986855,37562716.26986855,37562716.26986855,0
1717,51224532.83204511,47067992.038919374,36576762.038919374,36576762.038919374,0
1718,50039881.690647855,46166900.05266843,35675670.05266843,35675670.05266843,0
1719,49606737.95358417,46063274.45706167,35572044.45706167,35572044.45706167,0
1720,51218491.77574018,48517667.393228486,38026437.393228486,38026437.393228486,0
1721,52560210.381065704,50592001.44034439,40100771.44034439,40100771.44034439,0
1722,54834063.974242315,52871160.96364224,42379930.96364224,42379930.96364224,0
1723,54287348.37864592,51932190.35866979,41440960.35866979,41440960.35866979,0
1724,51283735.18383345,48839843.30059172,38348613.30059172,38348613.30059172,0
