,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
1586,36171503.18471338,27934571.021969296,14799121.021969296,14799121.021969296,0.0,0.0,0.0
1587,35612537.03366698,27587975.988756455,14452525.988756455,14452525.988756455,0.0,0.0,0.0
1588,35214867.51592356,26734528.202937372,13599078.202937372,13599078.202937372,0.0,0.0,0.0
1589,36550403.63967243,27963646.42043209,14828196.42043209,14828196.42043209,0.0,0.0,0.0
1590,40864355.414012745,32448986.64958719,19313536.64958719,19313536.64958719,0.0,0.0,0.0
1591,46496247.31574159,37715020.588066846,24579570.588066846,24579570.588066846,0.0,0.0,0.0
1592,48787246.04185624,39315114.202435635,26179664.202435635,26179664.202435635,0.0,0.0,0.0
1593,50589076.06915377,40840349.45967613,27704899.45967613,27704899.45967613,0.0,0.0,0.0
1594,51295848.58962693,40974488.0541242,27839038.0541242,27839038.0541242,0.0,0.0,0.0
1595,51567413.466787994,40706836.140615016,27571386.140615016,27571386.140615016,0.0,0.0,0.0
1596,51549230.93721566,40295240.00710519,27159790.007105187,27159790.007105187,0.0,0.0,0.0
1597,50252992.53867152,37776374.90506262,24640924.905062623,24640924.905062623,0.0,0.0,0.0
1598,48775515.37761601,36337976.2410097,23202526.241009697,23202526.241009697,0.0,0.0,0.0
1599,48146165.24112829,36045535.39484429,22910085.394844294,22910085.394844294,0.0,0.0,0.0
1600,50050052.04731574,38661598.60229545,25526148.60229545,25526148.60229545,0.0,0.0,0.0
1601,51216080.07279345,40871913.22551395,27736463.22551395,27736463.22551395,0.0,0.0,0.0
1602,54156371.064604186,44255716.98037341,31120266.980373412,31120266.980373412,0.0,0.0,0.0
1603,53416166.15104642,43117031.41605806,29981581.416058064,29981581.416058064,0.0,0.0,0.0
1604,50576758.87170154,39362785.72101175,26227335.72101175,26227335.72101175,0.0,0.0,0.0
1605,45971886.62420382,34630134.4791341,21494684.479134098,21494684.479134098,0.0,0.0,0.0
1606,40494839.49044585,29201775.74363071,16066325.743630711,16066325.743630711,0.0,0.0,0.0
1607,37108196.72429483,25916308.483064562,12780858.483064562,12780858.483064562,0.0,0.0,0.0
1608,37143975.25022748,26722607.87578801,13587157.87578801,13587157.87578801,0.0,0.0,0.0
1609,37000861.14649682,27445181.233073145,14309731.233073145,14309731.233073145,0.0,0.0,0.0
1610,36319309.55414012,27108174.11811117,13972724.11811117,13972724.11811117,0.0,0.0,0.0
1611,35665911.55595997,27098791.767204054,13963341.767204054,13963341.767204054,0.0,0.0,0.0
1612,35414875.34121929,27392088.23586732,14256638.235867321,14256638.235867321,0.0,0.0,0.0
1613,36922852.22929937,29141367.913792238,16005917.913792238,16005917.913792238,0.0,0.0,0.0
1614,41376398.90809828,33713334.367885485,20577884.367885485,20577884.367885485,0.0,0.0,0.0
1615,47508017.106460415,39587534.19157728,26452084.191577278,26452084.191577278,0.0,0.0,0.0
1616,49644757.597816184,42117935.91913961,28982485.91913961,28982485.91913961,0.0,0.0,0.0
1617,51282358.325750686,43749696.60088676,30614246.600886762,30614246.600886762,0.0,0.0,0.0
1618,51724604.36760691,44486312.554500535,31350862.554500535,31350862.554500535,0.0,0.0,0.0
1619,51145109.55414013,43657112.63124082,30521662.631240822,30521662.631240822,0.0,0.0,0.0
1620,51061235.30482256,43704803.58487631,30569353.584876306,30569353.584876306,0.0,0.0,0.0
1621,50635412.192902625,43560132.36565904,30424682.365659043,30424682.365659043,0.0,0.0,0.0
1622,49536835.4868062,42468029.18554744,29332579.18554744,29332579.18554744,0.0,0.0,0.0
1623,49278174.340309374,42821038.87308619,29685588.87308619,29685588.87308619,0.0,0.0,0.0
1624,50122195.63239309,44168076.08163246,31032626.081632458,31032626.081632458,0.0,0.0,0.0
1625,51318723.38489537,44965310.43384309,31829860.43384309,31829860.43384309,0.0,0.0,0.0
1626,52611442.58416742,45792240.7095748,32656790.709574804,32656790.709574804,0.0,0.0,0.0
1627,51228983.80345768,43770630.80297382,30635180.80297382,30635180.80297382,0.0,0.0,0.0
1628,48081646.5878071,39764167.36990447,26628717.369904473,26628717.369904473,0.0,0.0,0.0
1629,43594080.98271155,33740916.57829182,20605466.57829182,20605466.57829182,0.0,0.0,0.0
1630,38997420.20018199,28172962.496491864,15037512.496491864,15037512.496491864,0.0,0.0,0.0
1631,35791429.66333031,24218305.273022413,11082855.273022413,11082855.273022413,0.0,0.0,0.0
1632,35901697.907188356,23733668.904208746,10598218.904208746,10598218.904208746,0.0,0.0,0.0
1633,34952100.63694268,22449965.483663723,9314515.483663723,9314515.483663723,0.0,0.0,0.0
1634,33685775.4322111,21382785.037336748,8247335.037336748,8247335.037336748,0.0,0.0,0.0
1635,32559045.13193813,19544368.241967738,6408918.241967738,6408918.241967738,0.0,0.0,0.0
1636,31620591.992720656,16996094.810831193,3860644.810831193,3860644.810831193,0.0,0.0,0.0
1637,32033511.373976354,16301148.482181625,3165698.4821816254,3165698.4821816254,0.0,0.0,0.0
1638,33386643.49408553,16708852.658917604,3573402.658917604,3573402.658917604,0.0,0.0,0.0
1639,35435990.53685169,17904050.162176285,4768600.162176285,4768600.162176285,0.0,0.0,0.0
1640,39741144.31301183,21925370.06003838,8789920.06003838,8789920.06003838,0.0,0.0,0.0
1641,42294323.38489535,24427831.56085728,11292381.560857281,11292381.560857281,0.0,0.0,0.0
1642,42654454.77707006,24783728.659905907,11648278.659905907,11648278.659905907,0.0,0.0,0.0
1643,42894933.39399454,24859675.402828123,11724225.402828123,11724225.402828123,0.0,0.0,0.0
1644,43134238.94449499,25661328.868822232,12525878.868822232,12525878.868822232,0.0,0.0,0.0
1645,42266169.79071885,25028242.49039625,11892792.49039625,11892792.49039625,0.0,0.0,0.0
1646,41055565.24112829,23951431.771875914,10815981.771875914,10815981.771875914,0.0,0.0,0.0
1647,40713616.37852593,23009953.071988028,9874503.071988028,9874503.071988028,0.0,0.0,0.0
1648,41242082.80254778,23519679.87737447,10384229.87737447,10384229.87737447,0.0,0.0,0.0
1649,43306679.7088262,26146867.687942836,13011417.687942836,13011417.687942836,0.0,0.0,0.0
1650,45801205.45950865,29183705.8923995,16048255.892399501,16048255.892399501,0.0,0.0,0.0
1651,45226989.44494995,29139459.45860193,16004009.45860193,16004009.45860193,0.0,0.0,0.0
